Area_type,Location,Room size,Square_ft,Bathroom,Parking,Balcony,price_old,availability,Age
Super built up  Area,Whitefield,1,540740,1,Yes,0,19.83,20-Dec,2017
Super built up  Area,Raja Rajeshwari Nagar,3,1693,3,Yes,1,71.38,Ready To Move,2015
Super built up  Area,Kodihalli,2,1000,2,Yes,1,62,Ready To Move,2017
Built up  Area,Babusapalaya,2,1305,2,Yes,1,70,Ready To Move,2017
Built up  Area,Kodichikkanahalli,1,450,1,Yes,1,18,Ready To Move,2017
Super built up  Area,CV Raman Nagar,1,705,1,Yes,1,57,Ready To Move,2017
Super built up  Area,Ilyas Nagar,4,750,6,Yes,2,75,Ready To Move,2019
Built up  Area,Tumkur Road,5,4800,5,Yes,2,150,Ready To Move,2019
Built up  Area,Koramangala Industrial Layout,4,5000,5,Yes,,600,Ready To Move,2019
Plot  Area,Gubbalala,4,5000,4,Yes,3,425,Ready To Move,2018
Built up  Area,Whitefield,3,1991,3,Yes,2,104,18-Dec,2015
Super built up  Area,Battarahalli,3,1779,3,Yes,2,90,Ready To Move,2015
Plot  Area,Whitefield,4,10200,4,Yes,1,1250,Ready To Move,2018
Super built up  Area,Banaswadi,2,870,2,Yes,2,38,Ready To Move,2017
Super built up  Area,Thanisandra,3,1595,3,Yes,2,120,18-May,2015
Super built up  Area,Kanakpura Road,1,525,1,Yes,1,26,21-Dec,2017
Plot  Area,Ramamurthy Nagar,4,945,5,Yes,2,120,Ready To Move,2019
Plot  Area,Basaveswarnagar,6,2400,4,Yes,2,420,18-Apr,2018
Super built up  Area,Iblur Village,3,2000,4,Yes,2,138,18-Dec,2018
Super built up  Area,Yelahanka,3,1614,3,Yes,2,93,Ready To Move,2015
Super built up  Area,Gottigere,2,1200,2,Yes,3,40,Ready To Move,2017
Built up  Area,Electronic City Phase II,3,1150,3,Yes,3,46,Ready To Move,2015
Super built up  Area,Indira Nagar,4,3200,4,Yes,,440,Ready To Move,2018
Super built up  Area,Sonnenahalli,3,1610,3,Yes,2,80.48,18-Dec,2015
Super built up  Area,Whitefield,2,1190,2,Yes,2,41,Ready To Move,2017
Super built up  Area,Kallumantapa,2,1050,2,Yes,2,50,Ready To Move,2017
Plot  Area,Vaishnavi Layout,4,4800,5,Yes,2,420,Ready To Move,2019
Super built up  Area,7th Phase JP Nagar,3,1460,2,Yes,1,97,Ready To Move,2017
Super built up  Area,Jaymahal Road,3,3400,3,Yes,3,400,Ready To Move,2015
Plot  Area,Naganathapura,1,600,1,Yes,0,33,Ready To Move,2017
Built up  Area,Suraksha Nagar,3,1569,3,Yes,0,70,Ready To Move,2015
Built up  Area,"Off Sarjapur Road, ",3,2600,3,Yes,2,147,18-Dec,2015
Super built up  Area,Electronics City Phase 1,1,645,1,Yes,0,42.5,Ready To Move,2017
Plot  Area,Nagarbhavi Garden Villas Layout,4,1200,3,Yes,1,180,Ready To Move,2015
Plot  Area,Nagarbhavi,3,800,3,Yes,0,95,Ready To Move,2015
Built up  Area,Mico Layout,2,800,2,Yes,1,80,Ready To Move,2017
Super built up  Area,Marathahalli,2,1350,2,Yes,1,90,Ready To Move,2017
Super built up  Area,BTM 2nd Stage,3,2780,4,Yes,1,325,Ready To Move,2018
Super built up  Area,Rajarajeshwari Nagara,3,1410,2,Yes,2,45.12,18-Mar,2017
Super built up  Area,Whitefield,2,1109,2,Yes,1,35.47,Ready To Move,2017
Super built up  Area,Vasanth nagar,4,2000,3,Yes,2,1063,Ready To Move,2015
Built up  Area,Agrahara Dasarahalli,1,800,1,Yes,0,72,Ready To Move,2017
Super built up  Area,Bannerghatta Road,2,1215,2,Yes,1,68,Ready To Move,2017
Plot  Area,Basaveshwara Nagar,8,1230,6,Yes,0,250,Ready To Move,2019
Built up  Area,Prithvi Layout,3,2273,4,Yes,2,192,Ready To Move,2018
Super built up  Area,Varthur Road,2,1255,2,Yes,2,52.76,18-Aug,2017
Super built up  Area,B Narayanapura,2,1020,2,Yes,1,49,Ready To Move,2017
Super built up  Area,T R Mill Road,3,1225,2,Yes,2,82,18-Jul,2017
Super built up  Area,Singasandra,2,1120,2,Yes,1,60,Ready To Move,2017
Plot  Area,Victoria Layout,5,2400,5,Yes,3,625,Ready To Move,2019
Super built up  Area,Kasavanhalli,3,1225,2,Yes,1,69,Ready To Move,2017
Plot  Area,Whitefield,4,5200,5,Yes,3,242,Ready To Move,2019
Built up  Area,Indira Nagar,4,4000,4,Yes,1,700,Ready To Move,2018
Super built up  Area,Sarjapur  Road,3,1984,4,Yes,1,145,Ready To Move,2018
Super built up  Area,Old Madras Road,3,2425,3,Yes,1,197,Ready To Move,2015
Plot  Area,ITPL,3,1200,3,Yes,1,56.12,18-Sep,2015
Super built up  Area,Bommasandra,2,1127,2,Yes,1,45,18-Aug,2017
Built up  Area,Whitefield,3,1655,3,Yes,2,97,18-Jun,2015
Super built up  Area,Ananth Nagar,1,500,1,Yes,1,14,18-Aug,2017
Plot  Area,Varthur,3,1200,3,Yes,1,68.38,18-Jul,2015
Super built up  Area,Kaggadasapura,2,1000,2,Yes,2,43,Ready To Move,2017
Super built up  Area,CV Raman Nagar,2,1225,2,Yes,2,47.88,18-Jul,2017
Super built up  Area,Hormavu,2,1350,2,Yes,2,45,Ready To Move,2017
Plot  Area,Nagarbhavi,4,600,5,Yes,3,95,18-Apr,2019
Super built up  Area,Sahakara Nagar,2,1175,2,Yes,3,49,Ready To Move,2017
Super built up  Area,Sanne Amanikere,1,655,1,Yes,2,27,Ready To Move,2017
Super built up  Area,Hosa Road,3,1311,2,Yes,1,84.86,19-Mar,2017
Plot  Area,Banashankari Stage VI,3,600,4,Yes,0,90,Ready To Move,2018
Carpet  Area,CV Raman Nagar,2,1000,2,Yes,1,38.5,Ready To Move,2017
Super built up  Area,Indira Nagar Stage 2,2,1196,2,Yes,1,96,Ready To Move,2017
Built up  Area,Kanakpura Road,3,1050,2,Yes,1,59,Ready To Move,2017
Super built up  Area,Somasundara Palya,3,1275,2,Yes,2,52,Ready To Move,2017
Carpet  Area,Hommadevanahalli,2,927,2,Yes,1,50,Ready To Move,2017
Super built up  Area,Varthur,3,1520,2,Yes,3,61,Ready To Move,2017
Plot  Area,BTM Layout 2nd Stage 1st Phase,4,2400,5,Yes,2,395,Ready To Move,2019
Built up  Area,Hebbal,2,1333,2,Yes,1,104,Ready To Move,2017
Super built up  Area,Tunganagara,1,600,1,Yes,0,18,18-Mar,2017
Super built up  Area,Abbigere,3,1326,2,Yes,1,34.8,18-Sep,2017
Super built up  Area,Sarjapur  Road,3,1618,,Yes,,85.125,18-Mar,
Built up  Area,Koramangala,2,1370,2,Yes,2,125,Ready To Move,2017
Super built up  Area,Koramangala,2,1100,2,Yes,2,85,Ready To Move,2017
Super built up  Area,Haralur Road,3,1650,3,Yes,3,100,Ready To Move,2015
Super built up  Area,Kasavanhalli,3,1917,3,Yes,2,132,18-May,2015
Carpet  Area,Doddakannelli,3,780,3,Yes,,75,Ready To Move,2015
Super built up  Area,Billekahalli,2,950,2,Yes,1,58.11,Ready To Move,2017
Super built up  Area,T C Palya main Road,2,1175,2,Yes,1,48.72,Ready To Move,2017
Super built up  Area,8th Phase JP Nagar,2,1089,2,Yes,1,43.55,Ready To Move,2017
Super built up  Area,Kalena Agrahara,3,1804,3,Yes,2,175,Ready To Move,2015
Super built up  Area,Hoodi,2,1257,2,Yes,1,68.5,Ready To Move,2017
Super built up  Area,Sarjapur,1,650,1,Yes,2,19.87,Ready To Move,2017
Super built up  Area,Whitefield,3,1850,3,Yes,2,150,Ready To Move,2015
Built up  Area,Vishwapriya Nagar,4,2800,4,Yes,1,200,Ready To Move,2018
Built up  Area,Vidyaranyapura,2,945,2,Yes,,40,Ready To Move,2017
Super built up  Area,Koramangala,2,1161,2,Yes,1,63.85,22-Dec,2017
Super built up  Area,Banashankari Stage V,3,1630,3,Yes,2,51.35,17-Apr,2015
Super built up  Area,Jalahalli,3,1310,2,Yes,2,60,Ready To Move,2017
Super built up  Area,Lake City,2,750,2,Yes,1,28,Ready To Move,2017
Plot  Area,Whitefield,3,1200,3,Yes,1,67.77,18-Sep,2015
Super built up  Area,Vittal Nagar,2,1000,2,Yes,1,45,Ready To Move,2017
Plot  Area,Old Madras Road,4,4000,4,Yes,2,225,Ready To Move,2018
Built up  Area,Nagavara,2,1315,2,Yes,2,70,Ready To Move,2017
Super built up  Area,Sahakara Nagar,3,1370,2,Yes,2,90,Ready To Move,2017
Plot  Area,Ulsoor,5,1200,4,Yes,3,150,Ready To Move,2018
Built up  Area,Bellandur,2,1465,3,Yes,3,90,Ready To Move,2015
Plot  Area,JP Nagar,3,20000,3,Yes,,175,Ready To Move,2015
Super built up  Area,Electronic City,2,1128,2,Yes,1,64,18-Apr,2017
Super built up  Area,Padmanabhanagar,3,1250,2,Yes,2,70,Ready To Move,2017
Super built up  Area,Hebbal,3,1645,3,Yes,2,117,19-Jun,2015
Super built up  Area,Horamavu Agara,3,1284,2,Yes,2,75,Ready To Move,2017
Super built up  Area,Hebbal,3,2600,3,Yes,2,199,18-Mar,2015
Super built up  Area,Kodigehalli,3,1820,3,Yes,2,150,19-Jun,2015
Super built up  Area,Haralur Road,3,1580,3,Yes,1,73,Ready To Move,2015
Built up  Area,Akshaya Nagar,3,2650,3,Yes,2,125,Ready To Move,2015
Super built up  Area,Bannerghatta Road,2,1215,2,Yes,1,68,Ready To Move,2017
Super built up  Area,Uttarahalli,2,1075,2,Yes,1,40,Ready To Move,2017
Super built up  Area,R.T. Nagar,3,1400,2,Yes,3,78,Ready To Move,2017
Super built up  Area,Subramanyapura,3,1400,2,Yes,1,55,Ready To Move,2017
Built up  Area,Bisuvanahalli,2,845,2,Yes,1,30,Ready To Move,2017
Super built up  Area,Hegde Nagar,4,2600,4,Yes,3,40,Ready To Move,2018
Built up  Area,Sarjapur,4,3508,6,Yes,0,385.5,Ready To Move,2019
Super built up  Area,Richards Town,2,800,2,Yes,1,85,Ready To Move,2017
Super built up  Area,Panathur,2,1199,2,Yes,1,85,Ready To Move,2017
Super built up  Area,Gunjur,2,1175,2,Yes,2,43.48,Ready To Move,2017
Plot  Area,Sahakara Nagar,3,2400,3,Yes,,270,Ready To Move,2015
Super built up  Area,Bellandur,3,1767,3,Yes,2,109,Ready To Move,2015
Super built up  Area,Sarjapur  Road,4,1800,3,Yes,1,90,Ready To Move,2015
Super built up  Area,Talaghattapura,3,1856,3,Yes,2,135,18-Aug,2015
Plot  Area,R.T. Nagar,3,1200,3,Yes,,140,Ready To Move,2015
Super built up  Area,Rajaji Nagar,3,1613,3,Yes,0,150,18-Jun,2015
Super built up  Area,Jakkur,4,6830,5,Yes,,795,Ready To Move,2019
Built up  Area,Whitefield,2,1290,2,Yes,0,90,Ready To Move,2017
Super built up  Area,Kasavanhalli,2,1375,2,Yes,1,78,Ready To Move,2017
Super built up  Area,Bagalur,2,985,2,Yes,2,57,Ready To Move,2017
Plot  Area,Jeevan bima nagar,4,1200,4,Yes,1,200,Ready To Move,2018
Super built up  Area,Singasandra,2,1099,2,Yes,1,37.5,Ready To Move,2017
Super built up  Area,Electronic City,1,605,1,Yes,0,13.31,18-Mar,2017
Super built up  Area,1 Immadihalli,11,6000,12,Yes,,150,Ready To Move,2017
Built up  Area,RMV Extension Stage 2,7,3600,7,Yes,3,160,Ready To Move,2020
Super built up  Area,Marathahalli,2,1200,2,Yes,1,53,Ready To Move,2017
Built up  Area,Hulimavu,2,1000,2,Yes,1,45,Ready To Move,2017
Super built up  Area,Electronic City,3,1159,2,Yes,3,38,Ready To Move,2017
Super built up  Area,Sarjapur  Road,5,3692,5,Yes,,340,Ready To Move,2019
Plot  Area,Devi Nagar,2,600,2,Yes,1,80,Ready To Move,2017
Plot  Area,4th Block Koramangala,4,2400,4,Yes,3,600,Ready To Move,2018
Built up  Area,BTM Layout,3,1540,2,Yes,2,78,Ready To Move,2017
Built up  Area,"JP Nagar 7th Phase, ",3,1503,2,Yes,2,93,Ready To Move,2017
Super built up  Area,Ambedkar Nagar,3,1850,4,Yes,2,120,Ready To Move,2018
Built up  Area,Uttarahalli,3,1580,3,Yes,1,60,Ready To Move,2015
Super built up  Area,Mico Layout,2,1190,2,Yes,2,39.25,Ready To Move,2017
Plot  Area,Sampigehalli,2,1200,2,Yes,1,61,Ready To Move,2017
Plot  Area,HAL 2nd Stage,7,1000,7,Yes,3,250,Ready To Move,2020
Super built up  Area,Jakkur,2,850,1,Yes,1,19.9,18-Nov,2017
Super built up  Area,Domlur,3,2180,3,Yes,2,285,Ready To Move,2015
Super built up  Area,Hennur Bande,3,2500,2,Yes,1,60,Ready To Move,2017
Plot  Area,ITPL,3,1200,3,Yes,1,56.12,18-Dec,2015
Super built up  Area,Kamakshipalya,3,1500,2,Yes,2,52,Ready To Move,2017
Plot  Area,Navodaya Nagar,5,1200,3,Yes,2,180,Ready To Move,2015
Super built up  Area,Thanisandra,3,1880,3,Yes,3,120,Ready To Move,2015
Super built up  Area,Padmanabhanagar,2,1150,2,Yes,2,45,Ready To Move,2017
Plot  Area,Kasavanhalli,4,4408,4,Yes,2,344,18-May,2018
Super built up  Area,Bellandur,2,924,2,Yes,2,35.11,Ready To Move,2017
Super built up  Area,Sarjapur  Road,5,7800,6,Yes,,385,Ready To Move,2019
Plot  Area,Kumaraswami Layout,6,600,6,Yes,3,100,Ready To Move,2019
Plot  Area,Pattanagere,4,750,4,Yes,1,95,18-Feb,2018
Built up  Area,Karuna Nagar,3,1962,3,Yes,2,175,Ready To Move,2015
Plot  Area,2nd Stage Nagarbhavi,5,1200,4,Yes,3,240,Ready To Move,2018
Super built up  Area,B Narayanapura,3,1765,3,Yes,2,77.27,18-Nov,2015
Super built up  Area,Attibele,2,1174,2,Yes,1,29.35,Ready To Move,2017
Super built up  Area,Bannerghatta Road,3,1894,3,Yes,1,115,19-Jun,2015
Plot  Area,Ramamurthy Nagar,4,960,2,Yes,2,138,Ready To Move,2017
Super built up  Area,Sector 7 HSR Layout,3,1760,3,Yes,2,142,Ready To Move,2015
Built up  Area,Doddanakundi Industrial Area 2,3,1768,3,Yes,3,95,Ready To Move,2015
Built up  Area,Kothanur,3,1790,3,Yes,0,97,Ready To Move,2015
Plot  Area,Kumara Pa  ,4,3500,5,Yes,1,800,17-Jul,2019
Plot  Area,Whitefield,2,1200,2,Yes,1,45,18-Dec,2017
Built up  Area,Kengeri,4,2540,4,Yes,0,160,Ready To Move,2018
Super built up  Area,Mahadevpura,2,1137,2,Yes,1,53.4,Ready To Move,2017
Super built up  Area,Jakkur,4,2249,,Yes,,229,22-May,
Plot  Area,Guni Agrahara,7,1200,6,Yes,,115,Ready To Move,2019
Super built up  Area,Mysore Road,3,1568,2,Yes,2,100,Ready To Move,2017
Built up  Area,Devanahalli,4,4940,4,Yes,0,393.5,Ready To Move,2018
Super built up  Area,AECS Layout,2,1308,2,Yes,1,60,Ready To Move,2017
Super built up  Area,Shankarapuram,4,3060,4,Yes,2,350,19-Aug,2018
Super built up  Area,Bisuvanahalli,3,1200,2,Yes,1,41,Ready To Move,2017
Super built up  Area,Shetty Halli,1,800,1,Yes,2,32,Ready To Move,2017
Super built up  Area,Electronic City,1,530,1,Yes,1,13.5,19-Dec,2017
Built up  Area,Bisuvanahalli,3,873,2,Yes,1,40,Ready To Move,2017
Plot  Area,AGB Layout,7,3000,6,Yes,3,145,Ready To Move,2019
Plot  Area,2nd Stage Arekere Mico Layout,4,1200,4,Yes,1,235,Ready To Move,2018
Super built up  Area,Subramanyapura,2,958,2,Yes,1,33.53,Ready To Move,2017
Super built up  Area,Thigalarapalya,3,2072,4,Yes,2,160,Ready To Move,2018
Super built up  Area,Talaghattapura,3,2273,3,Yes,3,159,21-Dec,2015
Plot  Area,Banashankari Stage VI,3,600,3,Yes,2,90,18-May,2015
Super built up  Area,Thanisandra,1,760,1,Yes,2,50,Ready To Move,2017
Super built up  Area,Dommasandra,2,1090,2,Yes,2,43.5,Ready To Move,2017
Super built up  Area,Thigalarapalya,3,2072,4,Yes,2,155,Ready To Move,2018
Super built up  Area,Bellandur,3,2666,3,Yes,1,230,Ready To Move,2015
Super built up  Area,Sarjapur  Road,3,1550,2,Yes,1,89,Ready To Move,2017
Super built up  Area,Ramagondanahalli,2,1251,2,Yes,1,50,18-Aug,2017
Super built up  Area,Electronic City,2,1070,2,Yes,1,53,Ready To Move,2017
Super built up  Area,Kalena Agrahara,2,1200,2,Yes,2,45,Ready To Move,2017
Built up  Area,CV Raman Nagar,3,1435,2,Yes,2,60,Ready To Move,2017
Built up  Area,Bommasandra,3,1400,2,Yes,3,45,Ready To Move,2017
Super built up  Area,Judicial Layout,4,2330,3,Yes,2,94.71,Ready To Move,2015
Super built up  Area,Thanisandra,2,1200,2,Yes,3,60,Ready To Move,2017
Super built up  Area,Panathur,2,1000,2,Yes,2,40,Ready To Move,2017
Super built up  Area,Bannerghatta Road,3,1655,2,Yes,2,62.89,18-Sep,2017
Built up  Area,Raja Rajeshwari Nagar,9,3600,9,Yes,3,240,Ready To Move,2021
Plot  Area,Bidrahalli,1,600,1,Yes,1,35,Ready To Move,2017
Super built up  Area,Electronics City Phase 1,2,1175,2,Yes,1,50,Ready To Move,2017
Super built up  Area,Uttarahalli,2,1155,2,Yes,2,40.43,Ready To Move,2017
Plot  Area,Magadi Road,3,1200,3,Yes,2,98,Ready To Move,2015
Super built up  Area,Budigere,2,1149,2,Yes,2,65,Ready To Move,2017
Super built up  Area,Jakkur,3,1880,,Yes,,98.485,Ready To Move,
Plot  Area,Choodasandra,4,3200,4,Yes,2,375,Ready To Move,2018
Super built up  Area,Chinnapanahalli,2,1010,2,Yes,2,55,Ready To Move,2017
Super built up  Area,Hegde Nagar,3,1718,3,Yes,2,119,Ready To Move,2015
Super built up  Area,Bilal Nagar,2,650,1,Yes,1,20,Ready To Move,2017
Super built up  Area,Banashankari,2,1330,2,Yes,2,77,Ready To Move,2017
Super built up  Area,Hormavu,2,1200,2,Yes,2,68,Ready To Move,2017
Super built up  Area,Bannerghatta Road,3,1693,3,Yes,2,89,21-Dec,2015
Super built up  Area,Koramangala,2,1249,2,Yes,1,165,19-Dec,2017
Built up  Area,Thanisandra,3,1800,4,Yes,1,125,Ready To Move,2018
Plot  Area,Margondanahalli,2,900,2,Yes,0,55,Ready To Move,2017
Super built up  Area,NGR Layout,2,1020,2,Yes,1,46,Ready To Move,2017
Super built up  Area,Amruthahalli,3,1700,3,Yes,2,77,Ready To Move,2015
Built up  Area,Panathur,1,661,1,Yes,1,40,18-Jun,2017
Super built up  Area,Bannerghatta Road,2,1280,2,Yes,2,60.16,17-Sep,2017
Plot  Area,Krishna Nagar,5,1000,4,Yes,2,90,Ready To Move,2018
Super built up  Area,Hosur Road,2,1170,2,Yes,1,48,Ready To Move,2017
Super built up  Area,Thanisandra,1,933,2,Yes,1,58,Ready To Move,2017
Built up  Area,Sarjapur  Road,2,1150,2,Yes,0,44,Ready To Move,2017
Super built up  Area,Benson Town,4,3633,6,Yes,2,550,Ready To Move,2019
Super built up  Area,Rajaji Nagar,3,1380,3,Yes,3,130,Ready To Move,2015
Built up  Area,Banjara Layout,2,1050,2,Yes,1,64.8,Ready To Move,2017
Super built up  Area,Kanakapura Main Road,2,1080,2,Yes,1,37.8,Ready To Move,2017
Super built up  Area,Harlur,2,1303,2,Yes,1,90,Ready To Move,2017
Super built up  Area,Raja Rajeshwari Nagar,2,1196,2,Yes,2,40.54,Ready To Move,2017
Built up  Area,Nagarbhavi,5,2500,3,Yes,2,180,Ready To Move,2015
Plot  Area,Sarjapur  Road,5,1200,4,Yes,1,95,Ready To Move,2018
Super built up  Area,Bommanahalli,3,1250,3,Yes,2,41,18-May,2015
Super built up  Area,Akshaya Nagar,3,1419,2,Yes,3,87,Ready To Move,2017
Super built up  Area,Banashankari,2,1200,2,Yes,3,49,Ready To Move,2017
Built up  Area,7th Phase JP Nagar,2,1120,2,Yes,2,65,Ready To Move,2017
Super built up  Area,Electronics City Phase 1,1,770,1,Yes,0,45.4,Ready To Move,2017
Super built up  Area,Electronics City Phase 1,2,1245,2,Yes,1,75,Ready To Move,2017
Built up  Area,Palanahalli,4,3978,4,Yes,3,428,Ready To Move,2018
Super built up  Area,Channasandra,2,1093,2,Yes,1,34,Ready To Move,2017
Super built up  Area,Electronic City,2,1025,1,Yes,1,26.63,18-Jul,2017
Super built up  Area,Hebbal,2,1345,2,Yes,1,97,Ready To Move,2017
Plot  Area,Suryanagar,2,1500,2,Yes,1,45,Ready To Move,2017
Super built up  Area,Vijayanagar,2,1180,2,Yes,1,86,21-Jun,2017
Super built up  Area,NGR Layout,2,1020,2,Yes,1,48.45,Ready To Move,2017
Super built up  Area,Nanjappa Layout,3,1800,3,Yes,3,85,Ready To Move,2015
Super built up  Area,Konanakunte,4,3621,4,Yes,1,511,18-Aug,2018
Super built up  Area,Banagiri Nagar,3,2008,3,Yes,2,170,Ready To Move,2015
Super built up  Area,Kothannur,3,1240,2,Yes,2,39.85,18-Jun,2017
Super built up  Area,CV Raman Nagar,2,1020,2,Yes,1,55,Ready To Move,2017
Super built up  Area,2nd Stage Arekere Mico Layout,3,2095,3,Yes,2,142,Ready To Move,2015
Super built up  Area,Gunjur,3,1362,3,Yes,2,62.63,Ready To Move,2015
Super built up  Area,Yelahanka,1,694,1,Yes,0,30.84,Ready To Move,2017
Super built up  Area,Vittasandra,2,1404,2,Yes,2,70,Ready To Move,2017
Super built up  Area,Electronic City Phase II,3,1192,2,Yes,3,47,Ready To Move,2017
Plot  Area,Wilson Garden,8,1850,12,Yes,,300,Ready To Move,2017
Plot  Area,Mahalakshmi Layout,4,1050,1,Yes,0,35,Ready To Move,2017
Super built up  Area,Vittasandra,2,1259,2,Yes,1,67.48,Ready To Move,2017
Super built up  Area,Kengeri,2,1000,2,Yes,2,34,Ready To Move,2017
Super built up  Area,Rachenahalli,2,985,2,Yes,1,49.97,20-Dec,2017
Built up  Area,Indira Nagar,1,850,1,Yes,2,60,Ready To Move,2017
Built up  Area,Uttarahalli,3,1650,2,Yes,1,50,Ready To Move,2017
Plot  Area,Rajaji Nagar,5,2400,3,Yes,1,320,Ready To Move,2015
Super built up  Area,Sarjapur  Road,3,1900,4,Yes,1,180,Ready To Move,2018
Super built up  Area,Ambedkar Nagar,2,1367,2,Yes,2,86,Ready To Move,2017
Super built up  Area,Rajaji Nagar,3,1210,2,Yes,2,81,Ready To Move,2017
Super built up  Area,Duvasapalya,2,1190,2,Yes,1,48.6,Ready To Move,2017
Super built up  Area,Sarjapur,2,1175,2,Yes,2,42,Ready To Move,2017
Super built up  Area,R.T. Nagar,4,2800,4,Yes,,400,Ready To Move,2018
Super built up  Area,Whitefield,2,1140,2,Yes,2,40,Ready To Move,2017
Super built up  Area,Hoskote,2,1095,2,Yes,2,33.6,Ready To Move,2017
Super built up  Area,Attibele,1,782,1,Yes,0,19.55,Ready To Move,2017
Super built up  Area,Gubbalala,3,1435,2,Yes,2,80,Ready To Move,2017
Super built up  Area,Choodasandra,2,725,2,Yes,2,36,Ready To Move,2017
Built up  Area,BCMC Layout,3,1600,2,Yes,2,88,Ready To Move,2017
Plot  Area,9th Phase JP Nagar,5,1200,5,Yes,,160,Ready To Move,2019
Super built up  Area,Hosakerehalli,4,3205,4,Yes,2,300,Ready To Move,2018
Plot  Area,Vishwapriya Layout,4,720,3,Yes,1,95,Ready To Move,2015
Super built up  Area,Nehru Nagar,3,1674,3,Yes,,90,Ready To Move,2015
Plot  Area,Jnanabharathi Layout,4,860,4,Yes,2,125,Ready To Move,2018
Super built up  Area,Haralur Road,2,1243,2,Yes,2,46,Ready To Move,2017
Super built up  Area,Kanakpura Road,3,1703,3,Yes,2,130,19-Jul,2015
Super built up  Area,Padmanabhanagar,3,1350,3,Yes,1,71.55,18-May,2015
Super built up  Area,Horamavu Agara,2,1145,2,Yes,1,41.21,Ready To Move,2017
Super built up  Area,Whitefield,2,1216,2,Yes,1,75,18-Apr,2017
Super built up  Area,7th Phase JP Nagar,2,1100,3,Yes,1,60,Ready To Move,2015
Super built up  Area,Sarjapur  Road,4,2425,5,Yes,1,201,Ready To Move,2019
Plot  Area,Kothanur,4,2700,4,Yes,2,175,Ready To Move,2018
Super built up  Area,Raja Rajeshwari Nagar,2,1196,2,Yes,2,40.54,Ready To Move,2017
Carpet  Area,Kanakpura Road,3,1600,3,Yes,3,90,Ready To Move,2015
Super built up  Area,Banashankari Stage V,3,1510,3,Yes,3,47.57,17-Oct,2015
Super built up  Area,Hosakerehalli,4,3033,4,Yes,1,326,Ready To Move,2018
Plot  Area,Pai Layout,2,780,2,Yes,1,72,Ready To Move,2017
Super built up  Area,Haralur Road,2,1194,2,Yes,2,47,Ready To Move,2017
Built up  Area,Banashankari Stage II,2,1250,2,Yes,2,110,Ready To Move,2017
Plot  Area,Sarjapur  Road,5,1480,4,Yes,1,169,Ready To Move,2018
Plot  Area,Horamavu Agara,4,1250,4,Yes,1,100,Ready To Move,2018
Plot  Area,Udaya Nagar,4,1350,4,Yes,2,160,Ready To Move,2018
Built up  Area,Laggere,1,620,2,Yes,0,48,Ready To Move,2017
Super built up  Area,Raja Rajeshwari Nagar,3,1630,3,Yes,2,60.65,Ready To Move,2015
Built up  Area,Hennur Road,2,1020,2,Yes,0,45,Ready To Move,2017
Super built up  Area,Hosakerehalli,3,1410,2,Yes,2,53.58,18-Aug,2017
Carpet  Area,Bhoganhalli,2,1182,2,Yes,1,100,18-Dec,2017
Plot  Area,9th Block Jayanagar,9,1200,8,Yes,3,270,Ready To Move,2020
Super built up  Area,Sarjapur  Road,3,1691,3,Yes,2,113,Ready To Move,2015
Built up  Area,KR Puram,4,1200,4,Yes,0,83,Ready To Move,2018
Super built up  Area,Banaswadi,2,1200,2,Yes,3,60,Ready To Move,2017
Super built up  Area,Old Airport Road,2,1050,2,Yes,2,50,Ready To Move,2017
Super built up  Area,Kathriguppe,3,1300,3,Yes,2,77.99,Ready To Move,2015
Super built up  Area,Whitefield,2,1356,2,Yes,1,94.84,21-Dec,2017
Super built up  Area,Whitefield,2,1338,2,Yes,1,103,20-Dec,2017
Super built up  Area,Kengeri Satellite Town Stage II,1,500,1,Yes,1,20,Ready To Move,2017
Super built up  Area,Vasantha Vallabha Nagar,3,1280,2,Yes,1,100,18-Aug,2017
Super built up  Area,Raja Rajeshwari Nagar,3,1531,3,Yes,3,51.77,Ready To Move,2015
Super built up  Area,Church Street,4,11000,4,Yes,1,1600,18-May,2018
Built up  Area,Anekal,2,620,1,Yes,1,23.5,Ready To Move,2017
Super built up  Area,8th Phase JP Nagar,3,1605,2,Yes,2,65,Ready To Move,2017
Super built up  Area,Thanisandra,3,1917,3,Yes,2,110,Ready To Move,2015
Plot  Area,Nagarbhavi,4,1200,3,Yes,1,340,Ready To Move,2015
Super built up  Area,Srinivas Colony,3,2750,3,Yes,2,943,Ready To Move,2015
Built up  Area,Sarjapur  Road,3,1400,3,Yes,2,55,Ready To Move,2015
Built up  Area,Thubarahalli,3,2625,3,Yes,3,175,Ready To Move,2015
Built up  Area,Sahakara Nagar,2,1100,2,Yes,1,55,Ready To Move,2017
Super built up  Area,Hennur Road,3,2041,3,Yes,3,128,Ready To Move,2015
Super built up  Area,Sarjapur  Road,3,2070,4,Yes,2,160,Ready To Move,2018
Super built up  Area,Hebbal,3,1110,3,Yes,3,59,Ready To Move,2015
Built up  Area,Uday Nagar,3,1650,3,Yes,1,110,Ready To Move,2015
Plot  Area,Ambedkar Nagar,4,3565,4,Yes,3,255,18-Dec,2018
Super built up  Area,Varthur Road,3,1033,2,Yes,2,30.47,19-Dec,2017
Super built up  Area,HSR Layout,2,1142,2,Yes,2,65,Ready To Move,2017
Super built up  Area,Mathikere,3,1500,2,Yes,2,75,Ready To Move,2017
